name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
LS1_BTS:BPM_D1980,BPM,0.0,197.971954558,0.0475,0.0475,BTS,BPM2,LS1,D1980,BPM,position monitor
DRIFT,DRIFT,0.145282,198.044595558,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_BTS:PORT_D1981,PORT,0.0,198.117236558,0.0475,0.0475,BTS,,LS1,NONE,PORT,port for future diagnostics
DRIFT,DRIFT,0.0,198.117236558,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_BTS:IP_D1981,PORT,0.0,198.117236558,0.0475,0.0475,BTS,IP_S,LS1,NONE,IP,"ion pump, 75 l/s"
DRIFT,DRIFT,0.131216,198.182844558,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,bellow
DRIFT,DRIFT,0.0594966623723,198.278200889,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1155
DRIFT,DRIFT,0.0520975,198.33399797,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1156
DRIFT,DRIFT,0.323644,198.52186872,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1157
DRIFT,DRIFT,0.099517,198.73344922,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1160
DRIFT,DRIFT,0.323644,198.94502972,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1161
DRIFT,DRIFT,0.0520975,199.13290047,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1164
DRIFT,DRIFT,0.072,199.19494922,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1165
DRIFT,DRIFT,0.094006,199.27795222,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,bellow
DRIFT,DRIFT,0.0,199.32495522,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,vacuum box
LS1_BTS:PORT_D1993,PORT,0.0,199.32495522,0.0475,0.0475,BTS,,LS1,NONE,PORT,future diagnostic port
DRIFT,DRIFT,0.0,199.32495522,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,vacuum box
LS1_BTS:IP_D1993,PORT,0.0,199.32495522,0.0475,0.0475,BTS,IP_S,LS1,NONE,IP,"ion pump, 75 l/s"
DRIFT,DRIFT,0.189994,199.41995222,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,bellow
DRIFT,DRIFT,0.106,199.56794922,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1173
LS1_BTS:DC_D1997,COR,0.2,199.72094922,0.05,0.05,BTS,C2,LS1,D1997,DC,"correctors-X,Y"
LS1_BTS:DCH_D1997,HCOR,0.0,199.72094922,0.05,0.05,BTS,C2,LS1,D1997,DCH,horiz. corrector magnet
LS1_BTS:DCV_D1997,VCOR,0.0,199.72094922,0.05,0.05,BTS,C2,LS1,D1997,DCV,vert. corrector magnet
DRIFT,DRIFT,0.25,199.94594922,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1175
